abandon: abandon,abandoned,abandons
appropriateness: appropriateness
apron: apron
aquarius: aquarius
aquinas: aquinas
arachne: arachne
arc: arc
arch: arch
archangels: archangels
archbishop: archbishop
archetype: archetype
arching: arching
archive: archive
ardor: ardor
arethusa: arethusa
argent: argent
argolic: argolic
argument: argument,arguments
aright: aright
aristotle: aristotle
arles: arles
arm: arm,armed,arms
armed: armed
armor: armor
armpit: armpits
army: army
array: array
arrival: arrival
arrive: arrive,arrived,arrives
arrogance: arrogance
arrogant: arrogant
arrow: arrow,arrows
arsenal: arsenal
art: art,arts
arthur: arthur
artifice: artifice
artificial: artificial
artificiality: artificiality
artistic: artistic
ascend: ascend,ascended,ascends
ascent: ascent
asceticism: asceticism
ascii: ascii
ascribe: ascribed,ascribes
ash: ashes
askance: askance
aspect: aspect
asquint: asquint
assail: assail,assailed,assails
assassin: assassin
assault: assault
assemble: assembled
assent: assented
assertion: assertion
assign: assigned,assigns
assist: assist
assistance: assistance
association: associations
assume: assume
assurance: assurance
assure: assure,assured
assuredly: assuredly
astray: astray
astrologer: astrologer
athena: athena
athens: athens
athwart: athwart
atmosphere: atmosphere
attach: attached
attack: attack,attacked
attain: attain,attained,attaining,attains
attempt: attempt
attend: attend,attended
attent: attent
attention: attention
attentive: attentive
attila: attila
attract: attracted
audacious: audacious
aught: aught
augur: augur
augury: augury
august: august
augustus: augustus
austria: austria
author: author
authority: authority
autumn: autumn
avail: avail,availed,avails
avarice: avarice
avaricious: avaricious
avenge: avenge,avenged
aventine: aventine
averse: averse
avoid: avoid
await: await,awaits
awake: awake,awoke
aware: aware
awhile: awhile
awry: awry
ay: ay
azure: azure
bacchus: bacchus
bad: bad,worse,worst
baffle: baffled
bag: bag
bake: baked
baked: baked
ballast: ballast
balsam: balsam
band: band,bands
banish: banished
banishment: banishment
bank: bank,banks
banner: banner,banners
baptism: baptism
baptist: baptist
baptistery: baptistery
baptize: baptized
baptizer: baptizers
bar: barred,bars
barbed: barbed
bare: bare
bark: bark,barked,barking,barks
barrator: barrator,barrators
barratry: barratry
barrier: barrier
base: base,based
bashful: bashful
bat: bat
bath: bath,bathed
bathe: bathes
battle: battle
battlements: battlements
bay: bay
bean: bean
bear: bear,bearing,bears,bore,born,borne
beard: beard
bearded: bearded
bearer: bearer
bearing: bearing
beast: beast,beasts
beat: beat,beating,beats
beatrice: beatrice
beauteous: beauteous
beautiful: beautiful
beauty: beauty
beaver: beaver
beckon: beckoned,beckoning
bed: bed
beehive: beehives
beelzebub: beelzebub
befit: befit,befitted
befitting: befitting
beg: begs
beginner: beginner
begone: begone
behead: beheaded
behold: behold,beholding
behove: behoved,behoves
belief: belief
bell: bells
bello: bello
bellow: bellow,bellowed,bellows
belly: belly
belong: belonged
belongings: belongings
beloved: beloved
belt: belt
ben: ben
bend: bend,bending,bent
beneath: beneath
benign: benign
benignant: benignant
bent: bent
benvenuto: benvenuto
beseech: beseech,besought
besiege: besieged
besought: besought
bestial: bestial
bestiality: bestiality
betake: betook
betide: betide
betray: betrayed,betrays
bewail: bewailing
beware: beware
bewilder: bewildered
bianchi: bianchi
bien: bien
binary: binary
bind: binding,bound
bird: bird
birth: birth
birthplace: birthplace
bishop: bishop
bit: bit
bitch: bitches
bite: bit,bite,bites,biting,bitten
biting: biting
bitter: bitter
bitterly: bitterly
black: black
blacker: blacker
blacks: blacks
blame: blame
blaspheme: blaspheme,blasphemed,blaspheming
blast: blast
blaze: blazes
blazon: blazon
bleeding: bleeding
bless: blessed
blessed: blessed
blessedness: blessedness
blessing: blessing
blind: blind
blindfold: blindfold
blister: blistered
block: block
blond: blond
blood: blood
bloody: bloody
blow: blow,blowing,blown,blows
blur: blurred
boar: boar
board: board
boat: boat,boats
bocca: bocca
boccaccio: boccaccio
body: bodies,body
boil: boiled,boiling,boils
boiling: boiling
bold: bold
boldly: boldly
boldness: boldness
bologna: bologna
bolognese: bolognese
bolt: bolt
bond: bond,bonds
bone: bone,bones
boniface: boniface
book: book
booty: booty
border: border,borders
born: born
borrow: borrow
bosom: bosom
bough: bough,boughs
bound: bounds
bounty: bounty
bourn: bourns
bow: bow,bowed,bows
bowstring: bowstring
boy: boy
brain: brain
brake: brake
branch: branches
branchlet: branchlet
brass: brass
brawl: brawl
brazen: brazen
breach: breach
bread: bread
breadth: breadth
break: break,breaks,broke,broken
bream: bream
breast: breast,breasts
breath: breath
breathe: breathes,breathing
breathing: breathing
breathless: breathless
brethren: brethren
briareus: briareus
bribe: bribe,bribed,bribes
bride: brides
bridge: bridge,bridges
brigade: brigade
bright: bright
brighten: brightens
bring: bring,bringing,brings,brought
bristle: bristling
broad: broad
broken: broken
bronze: bronze
brood: brooding
brook: brook
brooklet: brooklet
broth: broth
brother: brother,brothers
brow: brow,brows
bruges: bruges
brush: brushing
brute: brute,brutes
brutus: brutus
bubble: bubble,bubbles
buckle: buckles
budge: budge
budget: budget
build: builds,built
bulk: bulk
bull: bull
bundle: bundle
bunyan: bunyan
burden: burden,burdened,burdens
burial: burial
burn: burned,burning,burnt
burning: burning,burnings
burst: bursting,bursts
bury: buried
bush: bush
bushy: bushy
business: business
butler: butler
butt: butt
butter: butter
buttock: buttocks
cable: cable
caccia: caccia
cadmus: cadmus
caesar: caesar
cain: cain
caitiff: caitiff,caitiffs
calamity: calamities,calamity
calculate: calculate,calculated
calf: calf
callus: callus
cambridge: cambridge
camilla: camilla
camp: camp
campo: campo
cancel: cancelled
canon: canon
canst: canst
canto: canto
cantos: cantos
capable: capable
capacity: capacity
capitoline: capitoline
captain: captain
captive: captive
carat: carats
card: card
cardinal: cardinal
cardinals: cardinals
care: care,cared
carl: carl
carles: carles
carlino: carlino
carnage: carnage
carnal: carnal
carry: carried,carries,carry,carrying
cask: cask
cassius: cassius
cast: cast,casts
castigate: castigates
castle: castle,castles
cat: cats
catch: catch,caught
cathedral: cathedral
catiline: catiline
cauldron: cauldron
caulk: caulks
cautious: cautious
cavalier: cavalier,cavaliers
cavalry: cavalry
cave: cave
cavern: cavern
cease: cease,ceased
celestine: celestine
centaur: centaur,centaurs
centaurs: centaurs
central: central
centre: centre
century: centuries,century
cerberus: cerberus
certainty: certainty
cesar: cesar
chafe: chafes
chain: chain
champion: champions
chance: chance
chancellor: chancellor
change: change,changed,changing
channel: channel,channels
chanson: chanson
chaos: chaos
character: character,characters
charge: charge,charged,charges,charging
chariot: chariot
charitable: charitable
charity: charities,charity
charlemagne: charlemagne
charles: charles
charm: charm
charon: charon
charybdis: charybdis
chase: chase,chased,chasing
chasm: chasm
chaste: chaste
chatter: chattering
chaucer: chaucer
cheap: cheapest
cheat: cheat
check: check,checks
cheek: cheek,cheeks
cheer: cheer,cheers
cherubim: cherubim
cherubs: cherubs
chest: chest
chide: chide
chief: chief,chiefs
chill: chill
chilled: chilled
chin: chin,chins
chiron: chiron
choice: choice
choir: choir
choose: choose,chose,chosen
chosen: chosen
christ: christ
christian: christian,christians
christianity: christianity
christmas: christmas
chronicle: chronicle
chronicler: chroniclers
church: church
churl: churl
circe: circe
circle: circle,circled,circles
circlet: circlets
circling: circling
circuit: circuit
circular: circular
cistern: cistern
cite: cite,cited
citizen: citizen,citizens
city: city
claim: claim
clamber: clambered
clamp: clamp
clasped: clasped
class: class
clause: clause
claw: claw,clawing,claws
clay: clay
clean: clean
clearness: clearness
cleave: cleaves
cleft: cleft
clement: clement
cleopatra: cleopatra
clerk: clerk,clerks
cliff: cliff
climb: climb
clinch: clinching
cling: cling
cloak: cloak,cloaked,cloaks
cloister: cloister
close: close,closed,closes
closed: closed
closely: closely
cloth: cloth
clothe: clad,clothe,clothed
clothes: clothes
cloud: cloud,clouds
cloudy: cloudy
clove: clove
cloy: cloyed
club: club
clucking: clucking
clutch: clutch,clutched,clutches
coal: coal
coarse: coarse
coast: coast
coat: coat,coated
cocytus: cocytus
code: codes
coffer: coffers
coil: coil,coiled
coin: coin,coining
coiner: coiner
cold: cold
collect: collect,collected,collects
collection: collection
collector: collector
college: college
colony: colony
color: color,colored,colors
column: column
combat: combats
comedy: comedy
cometh: cometh
comfort: comfort,comforts
command: command,commanded
commandment: commandments
commend: commend,commended
comment: comment,comments
commentator: commentators
commercial: commercial
commission: commission
commit: committed
committed: committed
common: common
commune: commune
communicate: communicate
compact: compact
companion: companion,companions
company: company
comparatively: comparatively
compare: compare
comparison: comparison
compassion: compassion
compassionate: compassionate
compel: compel,compelled,compels
compend: compend
compensation: compensation
compilation: compilation
compiler: compiler
complete: complete,completed
completely: completely
complex: complex
compliance: compliance
compliant: compliant
comply: comply,complying
compose: composed
comprehend: comprehend,comprehending
comprehension: comprehension
compress: compressed
comprise: comprise
compromise: compromise
compunctious: compunctious
concave: concave
conceal: conceal,concealed,conceals
concede: concede,conceded,concedes
conceive: conceived,conceives
concentric: concentric
concept: concept
conception: conception
concrete: concrete
condemn: condemned,condemns
condition: condition,conditions
conduct: conduct
cone: cone
confess: confessed,confesses
confide: confides
confidence: confidence
confident: confident
confine: confine
confines: confines
confirm: confirmed
confirmation: confirmation
confound: confounded
confront: confront,confronting
confused: confused
congeal: congealed
conjoin: conjoined
conjure: conjured
connect: connect
conquer: conquer,conquered,conquers
conqueror: conqueror
conquest: conquest
conscience: conscience
consequence: consequences
consequential: consequential
considerable: considerable
consist: consisted,consists
consistency: consistency
consistent: consistent
consistently: consistently
console: consoled
consort: consorts
constant: constant
constantine: constantine
constrain: constrained,constraining,constrains
constraint: constraint
construct: constructed
construction: construction
consume: consume,consumed,consumes
consummation: consummation
contact: contact
contemporaneous: contemporaneous
contemporaneousness: contemporaneousness
contemporary: contemporaries,contemporary
contempt: contempt
contemptuous: contemptuous
contend: contend,contending
content: content
contented: contented
contention: contention
contents: contents
continence: continence
continually: continually
continue: continued,continuing
continuous: continuous
contorted: contorted
contract: contract
contradiction: contradiction
contrary: contrary
contribute: contribute,contributed
contribution: contributions
controversy: controversy
conversion: conversion
convert: convert,converted,converts
convey: conveyed
conviction: conviction
convito: convito
cook: cooked,cooks
cookery: cookery
cool: cool,cooling
copying: copying
copyright: copyright
cord: cord
cordage: cordage
cordelier: cordelier
core: core
cornelia: cornelia
cornerstone: cornerstone
cornwall: cornwall
corporation: corporation
correct: correct
correspond: correspond,corresponds
correspondence: correspondence
correspondent: correspondent
corrupt: corrupt
corruptible: corruptible
corruption: corruption
corso: corso
coruscant: coruscant
cosmography: cosmography
cost: cost,costs
costly: costly
couch: couching
council: council
counsel: counsel,counseled,counsels
counsellor: counsellors
counselor: counselors
count: count,counts
countenance: countenance,countenances
counter: counter
counterdance: counterdance
counterfeit: counterfeit
country: countries,country
couple: coupled
courage: courage
courageous: courageous
court: court,courts
courteous: courteous
courtesy: courtesy
cousin: cousin
cover: cover,covered,covers
covering: covering
covert: covert
covertly: covertly
cow: cow
cowardice: cowardice
cower: cowered,cowering
crabbed: crabbed
crack: cracks
cradle: cradle,cradles
crag: crag,crags
crane: cranes
crash: crashing
crave: crave,craves
craving: cravings
crawl: crawling
creak: creak
create: created,creating
creation: creation
creature: creature,creatures
credence: credence
credible: credible
credit: credit
creed: creed
cremona: cremona
crest: crest
crete: crete
crew: crew
crime: crime,crimes
criminal: criminals
crimson: crimson
critic: critic
critical: critical
criticism: criticism
croak: croak
crook: crook
crooked: crooked
cross: cross,crossed,crosses,crossing
crossbow: crossbow
crossing: crossing
crosswise: crosswise
crouch: crouch,crouched,crouching
croup: croup
crowd: crowd,crowds
crowded: crowded
crown: crown,crowned,crowns
crucify: crucified
cruel: cruel
cruelly: cruelly
crusade: crusade
crush: crushing
crust: crust,crusts
crystal: crystal
crystalline: crystalline
cub: cubs
cubit: cubits
culture: culture
cup: cup
cupidity: cupidity
curb: curb
curdle: curdles
cure: cure
curio: curio
curl: curl
current: current
currish: currish
currycomb: currycomb
custom: custom,customs
cut: cut,cuts,cutting
cylindrical: cylindrical
cyprus: cyprus
da: da
daedalus: daedalus
damage: damage
damaged: damaged
damages: damages
dame: dame,dames
damnable: damnable
damned: damned
damsel: damsel
dance: dance
dangerous: dangerous
dangle: dangling
daniel: daniel
dante: dante
danube: danube
dappled: dappled
daring: daring
dark: dark,darker,darkest
darken: darkened
darkly: darkly
darkness: darkness
dart: darted
darts: darts
datum: data
daughter: daughter
david: david
day: day,days
dazzle: dazzles
dead: dead
deaden: deadens
deadly: deadly
deaf: deaf
deal: deal,deals,dealt
dealings: dealings
dean: dean
death: death
debased: debased
debtor: debtor
decameron: decameron
deceit: deceit
deceitfully: deceitfully
deceive: deceive,deceived,deceives
december: december
deception: deceptions
declare: declare,declared,declares
decrease: decrease
decree: decree
decurion: decurion
deductible: deductible
deed: deed,deeds
deem: deem,deemed
deep: deep,deeper
defaced: defaced
defeat: defeat,defeated
defect: defect,defects
defective: defective
defence: defence
defend: defend,defended
defense: defense
defiance: defiance
defile: defiled
definite: definite
definiteness: definiteness
defraud: defraud
degree: degree,degrees
deity: deity
dejected: dejected
dejection: dejection
del: del
delay: delay,delayed,delaying,delays
delectable: delectable
deletion: deletions
delight: delight
deliver: deliver,delivered
deliverance: deliverance
della: della
demand: demand
demilion: demilion
demon: demon,demons
den: den,dens
denial: denial
denizen: denizens
dense: dense
deny: denied,deny,denying
depart: depart,departed,departing
departure: departure
depend: depended,depends
depict: depicted,depicts
deprive: deprive,deprived,deprives
depth: depth
derivative: derivative
derive: derive,derived
descend: descend,descended,descending,descends
descendant: descendants
descent: descent
descry: descried,descry
desert: desert,deserted,deserts
desertion: desertion
deserve: deserved,deserves
design: design
desire: desire,desired,desires
desirous: desirous
despairing: despairing
desperate: desperate
despise: despised,despises,despising
despoil: despoiled
despondency: despondency
destiny: destiny
destroy: destroy,destroyed
destroyer: destroyer
detach: detach,detached
determine: determine
devastator: devastators
device: device,devices
devil: devil,devils
devise: devised
devour: devour,devoured,devours
di: di
dialect: dialect
dice: dices
dictate: dictate
diction: diction
dido: dido
didst: didst
die: die,died,dies,dying
difference: difference
difficult: difficult
difficulty: difficulties,difficulty
digest: digests
dilate: dilated
dim: dim
dimension: dimensions
diminish: diminishes
din: din
diocese: dioceses
diogenes: diogenes
dire: dire
direct: direct,directed
direction: direction
dirty: dirty
dis: dis
disappear: disappeared
disastrous: disastrous
disburden: disburden,disburdened
discern: discern,discerned
discerner: discerner
discharge: discharge
disciple: disciple
disclaim: disclaim
disclaimer: disclaimer,disclaimers
disclose: disclosed,disclosing
discomfort: discomforted
disconsolate: disconsolate
discontinue: discontinue
discord: discord
discourage: discouraged
discourse: discourse,discoursed,discourses
discover: discover,discovered
discreet: discreet
disdain: disdain
disdainful: disdainful
disease: disease
disfigured: disfigured
disfiguring: disfiguring
dishearten: disheartened
disheveled: disheveled
disjoin: disjoined
disk: disk
dismail: dismail
dismal: dismal
dismayed: dismayed
display: display,displayed,displaying,displays
displease: displease,displeasing
displeasing: displeasing
disposal: disposal
dispose: disposed
disposed: disposed
disposition: disposition,dispositions
dissemble: dissembled
dissension: dissensions
dissipate: dissipating
dissociate: dissociated
distance: distance
distant: distant
distil: distills
distinct: distinct
distinction: distinction
distinctness: distinctness
distinguish: distinguish,distinguished
distinguished: distinguished
distort: distorted
distract: distracting
distracted: distracted
distraught: distraught
distribute: distribute,distributed,distributing
distribution: distribution
distributor: distributor
district: district
disturb: disturbed
ditch: ditch,ditches
dive: dive,dives
diver: divers
diverse: diverse
divest: divested
divide: divided,divides,dividing
divine: divine
diviner: diviners
division: division,divisions
doctrine: doctrine,doctrines
dog: dog,dogs
doglike: doglike
dolcino: dolcino
dole: dole
doleful: doleful
dolorous: dolorous
dolphin: dolphins
domain: domain
dominations: dominations
donate: donate
donation: donation,donations
donor: donors
door: door,doors
dost: dost
doth: doth
double: double,doubling
doubt: doubt
doubting: doubting
dove: doves
downfall: downfall
download: downloading
downward: downward
dowry: dowry
drag: drag,dragged,dragging,drags
dragon: dragon
draw: draw,drawing,drawn,draws,drew
dread: dread
dreaded: dreaded
dreadful: dreadful
dream: dream,dreaming,dreams
drink: drinks
drip: drips
drive: driven,drives,drove
drivel: drivel
drop: drop
drown: drown,drowned
drudge: drudges
drum: drum,drums
drunken: drunken
dry: dried,dries,dry
dubious: dubious
duck: duck,ducked
duct: duct
duke: duke
dull: dull
duly: duly
dumb: dumb
dungeon: dungeon
dusky: dusky
dust: dust
dwell: dwell,dwells
dwelling: dwelling
dyke: dyke,dykes
eager: eager
eagle: eagle
ear: ear,ears
earl: earl
earnest: earnest
earth: earth
earthly: earthly
earthquake: earthquake
easily: easily
east: east
easter: easter
easy: easy
eat: eat,eats
eating: eating
edge: edge
edition: edition,editions
educational: educational
edward: edward
eel: eel
effort: effort,efforts
eighth: eighth
elaborate: elaborate
eld: eld
elect: elect,elected,elects
electra: electra
electronic: electronic
electronically: electronically
element: elements
elemental: elemental
elephant: elephants
elijah: elijah
eliot: eliot
elisha: elisha
ell: ells
email: email
ember: embers
embody: embodied
embolden: emboldens
embrace: embrace,embraces
embroil: embroiled
eminent: eminent
emissary: emissaries
emotion: emotions
emotional: emotional
emperor: emperor
empire: empire
employee: employee,employees
employment: employment
empress: empress
empyreal: empyreal
empyrean: empyrean
enamel: enamel
encircle: encircle,encircles,encircling
enclosure: enclosure
encode: encoding
encompass: encompass
encounter: encounter,encountered,encounters
encouragement: encouragements
encrust: encrusted
encumber: encumbers
endeavor: endeavored,endeavors
endow: endowed
endure: endure
enemy: enemies,enemy
enforce: enforce
enfork: enfork
enfranchise: enfranchised
engage: engaged
england: england
english: english
enjoin: enjoined
enjoy: enjoy
enkindle: enkindled
enquire: enquired
enrage: enraged
enslave: enslave,enslaved
ensure: ensuring
enswathe: enswathes
entangle: entangled
enter: enter,entered
enterprise: enterprise
entice: enticed
entire: entire
entity: entity
entrails: entrails
entrance: entrance
entreaty: entreaty
entwine: entwined,entwines
envenom: envenom
envious: envious
envy: envy
ephialtes: ephialtes
equal: equal
equally: equally
equidistant: equidistant
equipment: equipment
equivalent: equivalent
ere: ere
erect: erect
erewhile: erewhile
err: err
error: error,errors
erst: erst
escape: escape,escaped,escaping
escort: escort,escorted
essay: essay
essence: essence
essential: essential
essentially: essentially
est: est
establish: established
establishment: establishment
eteocles: eteocles
eternal: eternal
eternally: eternally
eternity: eternity
ethics: ethics
ethiopia: ethiopia
etruscan: etruscan
euclid: euclid
euryalus: euryalus
evangelist: evangelist
eve: eve
evening: evening
evidence: evidence
evident: evident
evil: evil,evils
evoke: evoke
exact: exact
exalt: exalt,exalted,exalting
exaltation: exaltation
examine: examines
exceed: exceeding
excellence: excellence
excellent: excellent
excess: excess
exchange: exchange
excite: excited
exclusion: exclusion
excrement: excrement
excuse: excuse,excusing
executer: executers
exempt: exempt
exertion: exertion
exhaustion: exhaustion
exhibit: exhibits
exile: exile,exiled,exiles
exist: exist,exists
existence: existence
exonerate: exonerate
expect: expected,expects
expectancy: expectancy
expedient: expedient
expel: expel
expend: expend
expenditure: expenditure
expense: expense,expenses
expensive: expensive
experience: experience
explain: explain
explanation: explanation
export: exporting
express: express,expressed
expression: expression
extend: extended,extends
extension: extension
extent: extent
external: external
extinct: extinct
extinguish: extinguished
extraordinary: extraordinary
extreme: extreme
eye: eye,eyes
eyebrow: eyebrow
eyed: eyed
fable: fable
facility: facility
faction: faction,factions
faculty: faculty
fail: fail,failing,fails
failure: failure
fain: fain
faint: faint
fair: fair
faith: faith
faithful: faithful
falcon: falcon
falconer: falconer
fall: fall,fallen,falling,falls,fell
fallen: fallen
falls: falls
false: false
falsehood: falsehood
falsely: falsely
falsifier: falsifiers
falsify: falsified,falsify,falsifying
falsity: falsity
fame: fame
famed: famed
familiar: familiar
family: families,family
famine: famine
famous: famous
fan: fanning
fang: fangs
fano: fano
farth: farthest
fashion: fashion,fashioned
fast: fast,fasted
fasten: fastened
fasting: fasting
fat: fat
fate: fate,fated,fates
fateful: fateful
father: father,fathers
fatherland: fatherland
fathom: fathoms
fatigue: fatigues
fault: fault
favor: favor,favored
favorite: favorite
fear: fear,feared,fearing,fears
feast: feast,feasts
feather: feathers
feathered: feathered
feature: features
federal: federal
fee: fee,fees
feeble: feeble
feed: feed,feeding,feeds
feel: feel,feeling,feels
feeling: feeling
felicitous: felicitous
fell: fell
fellow: fellow
fellowship: fellowship
felon: felons
female: female
fen: fen
ferocious: ferocious
ferrara: ferrara
ferryman: ferryman
fess: fess
feud: feud
fever: fever,fevers
fidelity: fidelity
field: field
fierce: fierce
fiercely: fiercely
fiery: fiery
fig: fig,figs
fight: fight,fights,fought
fighting: fightings
figure: figure,figures
file: file,files
filippo: filippo
filth: filth
filthy: filthy
finally: finally
financial: financial
fine: fine
finger: finger,fingers
finish: finished
firefly: fireflies
firm: firm
firmly: firmly
fish: fish,fishes
fissure: fissure,fissures
fist: fist,fists
fit: fit,fitting
fitness: fitness
fitting: fitting
fixedly: fixedly
flake: flakes
flame: flame,flames,flaming
flank: flank,flanks
flap: flapping
flash: flash,flashed
flat: flatter
flatten: flattened
flatterer: flatterers
flattery: flatteries,flattery
flay: flay,flays
flea: fleas
flee: fled,flee
fleecy: fleecy
fleet: fleet
flemings: flemings
flesh: flesh
flight: flight
fling: flings
float: float
flock: flock,flocks
flood: flood,floods
floor: floor
florence: florence
florentine: florentine
florentines: florentines
florin: florin
flout: flout,flouted
flow: flow,flows
flower: flowers
floweret: flowerets
fly: flies,fly,flying
foam: foam
foe: foe
fog: fog
folk: folk
follow: follow
follower: follower,followers
fondness: fondness
font: font
food: food
fool: fools
foolish: foolish
foot: feet,foot
footman: footmen
footnote: footnotes
footprint: footprints
forbid: forbid,forbidden
force: force,forced,forces
ford: ford
fore: fore
foreign: foreign
foreland: foreland
forelock: forelock
foreordained: foreordained
foresail: foresail
foresee: foresee
foresight: foresight
forest: forest
foretell: foretells,foretold
forge: forge
forget: forgetting,forgotten
forgive: forgive
fork: fork,forked,forks
forlorn: forlorn
form: form,formed,forming,forms
forma: forma
format: format,formats
fornicate: fornicate
forsooth: forsooth
fortis: fortis
fortitude: fortitude
fortress: fortress
fortune: fortune,fortunes
foss: foss
fosse: fosse
fosterer: fosterer
foul: foul
foundation: foundation
fount: fount,founts
fountain: fountain
fourteenth: fourteenth
fourth: fourth
fox: fox
fra: fra
fragment: fragment
frame: frame,framed
france: france
francis: francis
frantic: frantic
frate: frate
fraticelli: fraticelli
fraud: fraud,frauds
fraudulent: fraudulent
fray: fray
frederick: frederick
freebooter: freebooters
freebooting: freebooting
freedom: freedom
freely: freely
freeze: frozen
french: french
frequent: frequented,frequents
frequently: frequently
fresh: fresh
freshness: freshness
friar: friar,friars
friars: friars
friend: friend,friends
friendship: friendship
fright: fright
frightened: frightened
frightful: frightful
frog: frog,frogs
frost: frost
frown: frown
frozen: frozen
fruit: fruit,fruits
fruitful: fruitful
fulfil: fulfilled
fulfilment: fulfilment
fulness: fulness
fume: fume
fundamental: fundamental
funeral: funeral
furies: furies
furious: furious
furnish: furnished
furnishings: furnishings
fury: furies,fury
future: future
gad: gad
gadfly: gadflies
gain: gain,gaining,gains
galen: galen
gall: gall
gallop: gallop
gamble: gambles
game: game
gange: ganges
garb: garb
garden: garden,gardens
garland: garland
gate: gate,gates
gather: gather,gathered,gathers
gaze: gaze,gazed,gazes,gazing
generate: generated,generates
generation: generation,generations
genesis: genesis
genius: genius
genoese: genoese
gentle: gentle
geography: geography
geometer: geometer
gerfalcon: gerfalcon
german: german,germans
germany: germany
geryon: geryon
gest: gest
ghibelline: ghibelline
giant: giant,giants
giants: giants
gibbet: gibbet
gift: gift
gilded: gilded
giovanni: giovanni
gird: girds
girdle: girdle,girdles
girl: girl
girt: girt
girth: girth
giver: giver
glad: glad
gladden: gladdened
glaring: glaring
glass: glass
glassy: glassy
glean: gleaning
glide: gliding
globe: globe
gloom: gloom
gloomy: gloomy
glorious: glorious
glory: glory
gloss: glossed
glow: glow,glowing
glue: glued
glutton: gluttons
gluttonous: gluttonous
gluttony: gluttony
gnarled: gnarled
gnash: gnashed
gnat: gnat
gnaw: gnaw,gnawed
goad: goading,goads
goal: goals
goat: goat,goats
goblin: goblin
god: god,gods
godlike: godlike
gods: gods
gold: gold
golden: golden
goodness: goodness
goose: goose
gorge: gorge
gorget: gorget
gorgon: gorgon
govern: govern,governs
government: government
grace: grace
gracious: gracious
grade: grade
grain: grain
grammarian: grammarian
grand: grand
grandchild: grandchild
grande: grande
grandson: grandson,grandsons
grant: grant,granted
grapple: grapple,grappled,grapples,grappling
grass: grass
gratefully: gratefully
gratitude: gratitude
grave: grave
gray: gray
greasy: greasy
greatly: greatly
greece: greece
greedy: greedy
greek: greek,greeks
green: green,greenest
greeting: greeting
greyhound: greyhounds
grief: grief
grieve: grieve,grieved,grieves
grieving: grieving
grievous: grievous
grin: grin,grinning
grind: ground
grip: grip
gripe: gripe
grisly: grisly
groan: groan
groin: groin
grope: groping
gross: gross
ground: ground
grovel: groveling
grow: grew,grown,grows
grown: grown
grub: grubs
grudge: grudge
grumble: grumbles
guard: guard,guarded
guelph: guelph
guest: guests
guidance: guidance
guide: guide,guides
guido: guido
guile: guile
guilt: guilt
guilty: guilty
guinevere: guinevere
gule: gules
gulf: gulf
gullet: gullet,gullets
gulley: gulley
gurgle: gurgle
gush: gushed
guy: guy
