abate: abate,abated
apron: apron
apt: apt
aqueous: aqueous
arabian: arabians
arbela: arbela
arbitress: arbitress
arch: arch,arched
arched: arched
architect: architect
architecture: architecture
archive: archive
argue: argue,argued
argument: argument,arguments
aristotle: aristotle
arithmetic: arithmetic
arm: arm,armed,arms
armed: armed
army: armies,army
array: array
arrival: arrival
arrive: arrive,arrived,arrives
arrow: arrow,arrows
art: art,arts
artery: arteries
artful: artful
artfully: artfully
article: article,articles
articulate: articulate
artificial: artificial
artificially: artificially
artist: artist,artists
ascend: ascended,ascending
ascii: ascii
ascribe: ascribe,ascribed
ash: ashes
ashamed: ashamed
ashore: ashore
asiatic: asiatic
aslant: aslant
asleep: asleep
aspect: aspect
aspire: aspiring
ass: ass,asses
assembly: assemblies,assembly
assert: assert,asserted
asserter: asserters
assertion: assertion
assessment: assessments
assign: assign,assigned,assigning
assignment: assignments
assist: assist,assisted,assisting,assists
assistance: assistance
assistant: assistant
assume: assumed
assurance: assurance
assure: assured,assuring
astonish: astonished
astonished: astonished
astonishing: astonishing
astonishment: astonishment
astride: astride
astrolabe: astrolabes
astrology: astrology
astronomer: astronomer,astronomers
astronomical: astronomical
astronomy: astronomy
asunder: asunder
atheist: atheists
atlas: atlas
attach: attached
attachment: attachment
attack: attack,attacked,attacks
attain: attaining
attempt: attempt,attempted,attempting,attempts
attend: attend,attended,attending,attends
attendance: attendance
attendant: attendant,attendants
attention: attention
attest: attested
attorney: attorney,attorneys
attract: attracted,attracting
attraction: attraction
attractive: attractive
audience: audience,audiences
auditor: auditor
august: august
augustus: augustus
auspicious: auspicious
austere: austere
austrian: austrian
author: author,authors
authority: authorities,authority
autumn: autumn
avarice: avarice
avenue: avenues
averse: averse
aversion: aversion
avoid: avoid,avoided
avow: avow,avowed
avowed: avowed
awake: awake,awaked
awe: awe
awhile: awhile
awkward: awkward
awkwardness: awkwardness
awl: awl
axis: axes
axle: axle
babe: babe
baby: baby
backbiter: backbiters
bad: bad,worse,worst
badge: badges
bag: bag
baggage: baggage
bagpipe: bagpipes
bake: bake
balance: balance
ball: ball,balls
ballot: ballot
balnibarbi: balnibarbi
bamboo: bamboo
banbury: banbury
bandage: bandages
bang: banged,banging,bangs
banish: banish,banished
banishment: banishment,banishments
bank: bank
bar: bars
barbadoes: barbadoes
barbarian: barbarians
barbarity: barbarity
barbarous: barbarous
barber: barber
bare: bare
barefoot: barefoot
bargain: bargain
bark: bark,barks
barley: barley
barrel: barrel,barrels
barren: barren
barrow: barrows
base: based
bashfulness: bashfulness
basin: basin,basins
basket: baskets
bass: bass
bates: bates
bath: bathed
bathe: bathe
battalia: battalia
batter: batter,battering
battle: battle,battles
bawd: bawds
bay: bay
bayonet: bayonets
bead: bead
beak: beak
beam: beam
bear: bear,bearing,bore,born,borne
beard: beard,beards
bearer: bearers
bearing: bearing,bearings
beast: beast,beasts
beat: beat,beaten,beating
beautiful: beautiful
beautifully: beautifully
beauty: beauties,beauty
beckon: beckoning
bed: bed,beds
bedchamber: bedchamber
bedstead: bedstead
bee: bee,bees
beef: beef,beeves
befall: befalls
befit: befits
beg: beg,begged,begging
beget: begat,beget,begetting
beggar: beggar,beggars
beggarly: beggarly
beggary: beggary
behalf: behalf
behave: behave,behaved
behaviour: behaviour
beheld: beheld
behold: beheld,behold,beholding
beholder: beholders
belay: belayed
belief: belief
believer: believers
bell: bells
bellow: bellows
belly: belly
belong: belong,belonged,belonging,belongs
beloved: beloved
belt: belt
bemire: bemired
bemoan: bemoaned
bench: bench,benches
bend: bending,bent
beneath: beneath
benefactor: benefactor
benefit: benefit
benevolence: benevolence
bent: bent
berry: berries,berry
besiege: besieging
bespeak: bespeak
bestow: bestow,bestowed
betray: betray,betraying
betrayer: betrayers
betty: betty
betwixt: betwixt
bevel: bevel
bias: bias
bid: bade,bid,bidding
bigness: bigness
binary: binary
bind: bind,binding,bound
bird: bird,birds
birth: birth,births
biscuit: biscuit
bishop: bishops
bit: bit,bits
bite: bite,bites,biting
black: black
bladder: bladder,bladders
blade: blade,blades
blame: blame,blamed
blameless: blameless
blanket: blanket,blankets
blast: blast
blaze: blazing
bleed: bleeding
blessing: blessing
blind: blind,blinding
blindness: blindness
blister: blisters
blood: blood
bloody: bloody
blot: blotted
blow: blew,blow,blowing,blown
blue: blue
blunt: blunt
blurred: blurred
boar: boar
board: board,boarded,boards
boast: boast
boat: boat,boats
bodily: bodily
body: bodies,body
boil: boiled
bold: bold,boldest
boldly: boldly
boldness: boldness
bolus: bolus
bomb: bombs
bombardment: bombardments
bond: bonds
bone: bone,bones
book: book,books
border: border
bore: bore
bored: bored
borrow: borrow,borrowed
bosom: bosom,bosoms
boss: bosses
bottomless: bottomless
bounce: bounce,bouncing
bound: bound,bounded,bounds
bow: bow,bowed,bowing,bows
bowels: bowels
bowl: bowl
bowlful: bowlful
bowling: bowling,bowlings
box: box,boxes
boy: boy,boys
brace: braces
bracelet: bracelet,bracelets
brain: brain,brains
brained: brained
branch: branches
brandish: brandish
brandy: brandy
brass: brass
brave: brave
bravely: bravely
braying: braying
breach: breach,breaches
bread: bread
breadth: breadth
break: break,breaking,breaks,broke,broken
breakfast: breakfast
breaking: breaking
breast: breast,breasts
breath: breath
breech: breech
breeches: breeches
breed: bred,breed
breeding: breeding
brethren: brethren
brevity: brevity
bribe: bribe,bribing
bribery: bribery
bridge: bridge
bridle: bridle
bright: bright
brim: brim
bring: bring,bringing,brings,brought
bristle: bristles
bristol: bristol
britain: britain
britannia: britannia
british: british
broad: broad,broader
brobdingnag: brobdingnag
broken: broken
brood: brood
brook: brook,brooks
broom: broom
broth: broth
brother: brother
brotherhood: brotherhood
brow: brows
brown: brown
brownness: brownness
bruise: bruised,bruises
brush: brush
brutal: brutal
brutality: brutality
brute: brute,brutes
brutus: brutus
buccaneer: buccaneers
bucket: bucket,buckets
buckle: buckle,buckled
buff: buff
buffet: buffets
buffoon: buffoons
build: build,building,builds,built
building: building,buildings
bulk: bulk
bull: bull,bulls
bullet: bullets
bully: bullies
bulwark: bulwark
bundle: bundle,bundles
burden: burdening,burdens
burgundy: burgundy
burial: burials
burn: burning,burnt
burrow: burrows
burst: burst,bursting
burthen: burthen
burton: burton
bury: buried,bury
bush: bush
business: business
busy: busy
butcher: butcher,butchers
butler: butlers
butt: butt
butter: butter
buttock: buttocks
buying: buying
buzz: buzzing
buzzard: buzzard
cabal: cabal
cabin: cabin
cabinet: cabinet,cabinets
cable: cable,cables
cadence: cadence
cage: cages
cake: cake
calamity: calamity
calcine: calcine
calculate: calculate,calculated
calculation: calculation,calculations
california: california
calin: calin
calling: calling
calm: calm
cambridge: cambridge
camp: camp
canal: canal
canary: canary
cancer: cancer
candid: candid
candidate: candidates
candidly: candidly
candour: candour
cane: cane
canine: canine
cannon: cannons
canoe: canoe
cap: cap
capable: capable
capacity: capacities,capacity
cape: cape
caper: caper
capital: capital
caprice: caprice,caprices
captain: captain,captains
carabine: carabines
carcase: carcases
carcass: carcass
card: card
cardinal: cardinals
care: care
careful: careful
carefully: carefully
careless: careless
carelessness: carelessness
caress: caressed
cargo: cargo
carnivorous: carnivorous
carpenter: carpenter,carpenters
carriage: carriage,carriages
carrier: carrier,carriers
carrion: carrion
carry: carried,carry,carrying
cart: cart
carve: carved
cashier: cashiered
cast: cast
castrate: castrated,castrating
casually: casually
casualty: casualties,casualty
cat: cat,cats
catalogue: catalogue
cataract: cataract
catastrophe: catastrophe
catch: catch,catching,caught
cattle: cattle
caution: caution,cautioned
cavalier: cavalier
cave: cave,caves
cavity: cavity
cease: cease,ceased
ceiling: ceiling
celebrate: celebrate,celebrated,celebrating
celestial: celestial
cell: cell,cells
cellar: cellars
censure: censure,censured
censurer: censurers
cent: cent
centre: centre
century: century
cephalic: cephalic
ceremony: ceremonies,ceremony
chaff: chaff
chain: chain,chained,chains
chair: chair,chairs
chairman: chairmen
challenge: challenge,challenged,challenging
chamber: chamber
chamberlain: chamberlain
chambermaid: chambermaids
champion: champions
chance: chance,chanced
chancellor: chancellor
chancery: chancery
change: change,changed,changing
channel: channel
chap: chaps
chaplain: chaplains
chapter: chapter
character: character,characters
characteristic: characteristics
charge: charge,charged,charges,charging
chargeable: chargeable
chariot: chariot,chariots
charitable: charitable
charity: charities
charles: charles
chart: charts
chase: chased
chasm: chasm
chastity: chastity
chatter: chatter,chattering
cheap: cheap
cheat: cheat,cheating
check: check,checks
cheerful: cheerful
cheerfully: cheerfully
cheerfulness: cheerfulness
chest: chest
chestnut: chestnuts
chicken: chicken
chief: chief
chiefly: chiefly
child: child,children
childhood: childhood
chimera: chimeras
chimney: chimneys
chin: chin
chinese: chinese
chink: chinks
choice: choice,choicest
choke: choked
choose: choose,choosing,chose,chosen
chop: chop
christendom: christendom
christian: christian,christians
christianity: christianity
chronicle: chronicles
churchyard: churchyard
cicero: cicero
cider: cider
circle: circle,circles
circuit: circuit
circular: circular
circularly: circularly
circulate: circulate
circumference: circumference
circumlocution: circumlocutions
circumspection: circumspection
circumspectly: circumspectly
circumstance: circumstance,circumstances
circumstantial: circumstantial
cistern: cistern
cite: cited
citizen: citizen,citizens
city: cities,city
civil: civil
civilised: civilised
civility: civilities,civility
civilize: civilize,civilizing
civilized: civilized
civilly: civilly
claim: claim
clamber: clambered
clamour: clamour
clapping: clapping
claw: claws
clay: clay
clean: clean,cleaned,cleaning
cleanliness: cleanliness
cleanly: cleanly
clearness: clearness
cleft: clefts
clemency: clemency
clench: clenched
clergy: clergy
clerk: clerks
client: client
climate: climate
climb: climb,climbed,climbing
climbing: climbing
cloak: cloak
clock: clock
clog: clog
close: close,closed
closeness: closeness
closet: closet,closets
cloth: cloth
clothe: clad
clothes: clothes
clothing: clothing
cloud: cloud,clouds
club: club
clumsy: clumsy
clutch: clutches
clyster: clyster
coach: coach,coaches
coachman: coachman,coachmen
coal: coal
coarse: coarse,coarser,coarsest
coarseness: coarseness
coast: coast,coasting,coasts
coat: coat,coats
cobwebs: cobwebs
cock: cock
code: codes
codshead: codshead
coffer: coffers
cogitation: cogitation
coin: coin,coined,coining,coins
coincide: coincide
cold: cold,colder
coldness: coldness
colic: colic
collar: collar
collect: collected,collecting
collection: collection,collections
college: college,colleges
colonel: colonel
colony: colonies,colony
colossus: colossus
colour: colour,coloured,colours
coloured: coloured
colt: colt,colts
column: columns
comb: comb,combs
combing: combings
combustible: combustible
comeliness: comeliness
comely: comelier,comely
comet: comet,comets
comfort: comfort,comforted
comfortable: comfortable
command: command,commanded,commanding,commands
commander: commander,commanders
commanding: commanding
commence: commences,commencing
commend: commended
commendable: commendable
comment: comment
commentator: commentators
commerce: commerce
commercial: commercial
commission: commission
commit: commit,committed,committing
committee: committee,committees
commodious: commodious
common: common
commoner: commoners
commonly: commonly
commons: commons
commotion: commotions
communicate: communicate,communicated,communicating
communicativeness: communicativeness
companion: companion,companions
company: company
compare: compare,compared,comparing
comparison: comparison,comparisons
compass: compass,compasses
compel: compelled
compelling: compelling
competent: competent
compilation: compilation
complain: complain,complained,complaining
complaint: complaint,complaints
complaisant: complaisant
complete: complete,completed
complexion: complexion
compliance: compliance
complicated: complicated
complier: compliers
compliment: compliment,compliments
comply: complied,comply,complying
compose: compose,composed
composition: composition
composure: composure
compound: compounding
comprehend: comprehend,comprehended
comprehension: comprehension
compress: compressed
compromise: compromised
computation: computation
compute: compute,computed,computing
computing: computing
comrade: comrade,comrades
concave: concave
conceal: conceal,concealed,concealing
conceit: conceit
conceited: conceited
conceive: conceive,conceived,conceiving
concept: concept
conception: conception,conceptions
concern: concern,concerned,concerns
concerned: concerned
concert: concerts
concerted: concerted
conclude: conclude,concluded,concludes,concluding
conclusion: conclusion
concourse: concourse
concupiscence: concupiscence
condemn: condemn,condemned
condense: condensing
condescend: condescend
condition: condition,conditions
conduct: conduct,conducted,conducting
conductor: conductor
cone: cones
confederacy: confederacy
confer: confer,conferred,confers
confess: confess,confessed
confession: confession
confide: confide,confided
confidence: confidence
confident: confident
confine: confine,confined
confinement: confinement
confirm: confirm,confirmed,confirming
confirmation: confirmation
confound: confound,confounded,confounding
confront: confronted
confused: confused
confusion: confusion
congratulate: congratulate
congruity: congruity
conjecture: conjecture,conjectured,conjectures,conjecturing
conjunction: conjunction
conjuncture: conjunctures
conjure: conjured
conjurer: conjurers
conjuring: conjuring
connive: connived
conquer: conquered,conquering
conquest: conquests
conscience: conscience,consciences
conscious: conscious
consciousness: consciousness
consent: consent,consented
consequence: consequence,consequences
consequential: consequential
considerable: considerable
considerably: considerably
consideration: consideration,considerations
consist: consist,consisted,consisting,consists
consistence: consistence
consistent: consistent
consort: consort,consorts
conspiracy: conspiracies,conspiracy
conspire: conspire,conspired
constancy: constancy
constant: constant
constantly: constantly
constellation: constellation
constitute: constitutes
constitution: constitution
consult: consult,consulted,consulting
consultation: consultation,consultations
consume: consume,consumed
consummate: consummate
contact: contact
contemn: contemn
contemplation: contemplation
contemporary: contemporaries
contempt: contempt
contemptible: contemptible
contemptuous: contemptuous
contemptuously: contemptuously
contend: contend,contended,contending
content: content
contented: contented
contents: contents
continent: continent
continual: continual
continually: continually
continuance: continuance
continuation: continuation
continue: continue,continued,continues,continuing
contract: contract,contracted,contracts
contraction: contractions
contradict: contradict
contradiction: contradictions
contrary: contrary
contribute: contribute,contributed,contributes
contribution: contribution,contributions
contrivance: contrivance,contrivances
contrive: contrive,contrives
contrived: contrived
contriver: contriver
contriving: contriving
controversy: controversies,controversy
convenience: convenience,conveniences
conveniency: conveniency
convenient: convenient
conveniently: conveniently
conversant: conversant
conversation: conversation,conversations
converse: converse,conversed,conversing
convert: convert
convey: convey,conveyed,conveying
conviction: conviction
convince: convince,convinced,convincing
convinced: convinced
convulsion: convulsions
cook: cook,cooks
copious: copious
copper: copper
copse: copse
copulate: copulating
copying: copying
copyright: copyright
coquetry: coquetry
cord: cord,cords
cordage: cordage
cordial: cordial,cordials
corking: corking
corn: corn,corns
corner: corner,corners
cornish: cornish
corporation: corporation,corporations
correct: correct,corrected,correcting
correction: corrections
corrosion: corrosion
corrosive: corrosives
corrupt: corrupt,corrupted
corrupted: corrupted
corruption: corruption,corruptions
cortez: cortez
cost: cost,costs
costly: costly
cottager: cottagers
cotton: cotton
council: council,councils
counsel: counsel
counsellor: counsellors
count: counted,counts
countenance: countenance,countenanced,countenances
counterfeit: counterfeit
counterpoise: counterpoise
counterview: counterview
country: countries,country
countryman: countrymen
county: county
couple: couple,couples
courage: courage
courser: courser
court: court,courts
courteous: courteous
courtesy: courtesy
courtier: courtier,courtiers
courtly: courtly
courtship: courtship
cousin: cousin
cover: cover,covered,covering
covered: covered
covering: covering
coverlet: coverlet,coverlets
covetous: covetous
cow: cow,cows
coward: cowards
cowardice: cowardice
cowardly: cowardly
crack: crack
cradle: cradle
cram: crammed,cramming
cranny: crannies,cranny
craunch: craunch
crawl: crawl,crawling
crazy: crazy
cream: cream
create: created,creating
creation: creation
creature: creature,creatures
credentials: credentials
credit: credit,credited
creditor: creditors
credulity: credulity
creek: creek
creep: creep,creeping,crept
crest: crest
crew: crew
crier: crier
crime: crime,crimes
criminal: criminal,criminals
critic: critic
critical: critical
crop: crop
cross: cross,crossed
crowd: crowd,crowded,crowding
crowded: crowded
crown: crown,crowned
crucifix: crucifix
crudeness: crudeness
cruel: cruel
cruelly: cruelly
cruelty: cruelty
crumble: crumbled
crust: crust
cub: cub,cubs
cube: cubes
cucumber: cucumbers
cudgel: cudgel,cudgels
cull: culled
cultivate: cultivate,cultivated
culverin: culverins
cumbersome: cumbersome
cunning: cunning
cunningly: cunningly
cup: cup
cupola: cupola
curb: curb
cure: cure,cured,cures,curing
curiosity: curiosities,curiosity
curious: curious
current: current
curse: curses
cursed: cursed
curtain: curtains
cushion: cushion,cushions
custody: custody
custom: custom,customs
cut: cut,cuts,cutting
cycloid: cycloid
cylinder: cylinder,cylinders
daily: daily
damage: damage,damaged,damaging
damaged: damaged
damages: damages
damp: damp
dance: dance,danced,dancing
dancer: dancers
dancing: dancing
danger: danger,dangers
dangerous: dangerous
dapple: dapple
dark: dark
darken: darkened
darling: darling
dart: darting
darts: darts
dash: dash,dashed,dashing
datum: data
daub: daubed,daubing
daughter: daughter,daughters
daunted: daunted
david: david
day: day,days
daytime: daytime
dazzle: dazzled
dead: dead
deadly: deadly
deafen: deafened
deal: deal,dealing,dealt
dealer: dealer
dealings: dealings
dean: dean
dearth: dearth
death: death,deaths
debase: debased
debate: debate,debated,debates
debauch: debauched
debt: debt
decay: decay
decayed: decayed
deceive: deceived,deceiving
december: december
decency: decency
decent: decent
decide: decide
decipher: decipher,deciphered
decipherer: decipherer
decision: decision,decisions
decisive: decisive
deck: deck
declaration: declaration
declare: declare,declared
declension: declensions
decline: decline,declining
declivity: declivity
decree: decree,decreed,decrees
deducible: deducible
deductible: deductible
deep: deep,deeper,deepest
deeply: deeply
deface: defaced
defeat: defeated
defect: defect,defects
defective: defective
defectiveness: defectiveness
defence: defence
defend: defend,defended,defending
defendant: defendant
deficient: deficient
defile: defile
define: define
deform: deformed
deformity: deformities,deformity
defray: defray
defy: defy
degeneracy: degeneracy
degenerate: degenerate,degenerated,degenerating
degrading: degrading
degree: degree,degrees
dejected: dejected
deletion: deletions
deliberate: deliberating
delicious: delicious
delight: delight,delighted,delighting
delighted: delighted
delightful: delightful
delighting: delighting
delineate: delineate
delirium: deliriums
deliver: deliver,delivered,delivering,delivers
deliverance: deliverance
demand: demand,demanded,demands
demeanour: demeanour
demesne: demesne,demesnes
demigod: demigods
demonstrate: demonstrate,demonstrated
demonstration: demonstration
denomination: denominations
denote: denote
deny: deny
depart: depart
departure: departure
depend: depend,depended,depends
dependence: dependence
deplorable: deplorable
deportment: deportment
depose: depose
depress: depressed
depressed: depressed
depression: depression
deprive: deprive,deprived
depth: depth
deputy: deputies,deputy
derivation: derivation
derivative: derivative
derive: derive,derived,derives
descant: descant,descanting
descartes: descartes
descend: descend,descended,descending,descends
descent: descent
description: description,descriptions
descry: descried
desert: deserting
deserve: deserve,deserved,deserves,deserving
deservedly: deservedly
design: design,designed,designs
desire: desire,desired,desires,desiring
desirous: desirous
desolate: desolate
desolation: desolation
despair: despair
despatch: despatch,despatched
despatched: despatched
desperate: desperate
despicable: despicable
despise: despise,despised
desponding: desponding
destiny: destiny
destroy: destroy,destroyed,destroying
destroyer: destroyers
destruction: destruction
destructive: destructive
detach: detach
detect: detecting
detector: detectors
determinate: determinate
determination: determination,determinations
determine: determine,determined,determining
determined: determined
detestable: detestable
detestation: detestation
detract: detract
detractor: detractors
device: device
devilishly: devilishly
devote: devote,devoted
devotion: devotion
devour: devour,devoured
devout: devout
dew: dews
dexterity: dexterity
dexterous: dexterous
dexterously: dexterously
diadem: diadems
dial: dial
dialect: dialect
diameter: diameter,diameters
diamond: diamond,diamonds
dictate: dictate,dictated,dictates
dictionary: dictionary
didymus: didymus
die: die,died,dying
diet: diet
difference: difference,differences
difficult: difficult
difficulty: difficulties,difficulty
diffuse: diffused
dig: dig,digging,dug
digest: digested
digestion: digestion
dignity: dignity
digression: digression
diligence: diligence
diligent: diligent
diligently: diligently
dim: dim
dimension: dimensions
diminish: diminish,diminished,diminishing
diminution: diminution
diminutive: diminutive
dine: dine,dined
dining: dining
dinner: dinner
direct: direct,directed,directing,directs
direction: direction,directions
director: director,directors
dirt: dirt
dirty: dirty
disadvantage: disadvantage,disadvantages
disaffection: disaffection
disagreeable: disagreeable
disappear: disappeared
disappointed: disappointed
disappointment: disappointment,disappointments
disapprobation: disapprobation
disapprove: disapproved
disarm: disarmed
disbelief: disbelief
disburden: disburdened
discard: discarded
discern: discern
discharge: discharge,discharged,discharging
discipline: discipline
disclaim: disclaim
disclaimer: disclaimer,disclaimers
discolour: discoloured
discompose: discompose,discomposed
discomposed: discomposed
disconsolate: disconsolate
discontent: discontent,discontents
discontented: discontented
discontinue: discontinue
discount: discount
discourage: discouraged
discourse: discourse,discoursed,discourses,discoursing
discoursing: discoursing
discover: discover,discovered,discovering,discovers
discoverer: discoverers
discovery: discoveries,discovery
discreet: discreet
disdain: disdain,disdaining
disease: disease,diseases
diseased: diseased
disengage: disengaged
disgrace: disgrace
disgraceful: disgraceful
disgracer: disgracers
disguise: disguise
disgust: disgust,disgusted
disgusted: disgusted
disgustful: disgustful
dish: dish,dishes
dishonourable: dishonourable
disk: disk
dislike: dislike,disliked
dismiss: dismissed,dismissing
dismount: dismount
disobey: disobey
disorder: disorder
disown: disown
dispair: dispair
dispatch: dispatched
dispenser: dispensers
dispirited: dispirited
display: display,displayed,displaying
displeased: displeased
displeasing: displeasing
displeasure: displeasure
disposal: disposal
dispose: dispose,disposed
disposed: disposed
disposition: disposition,dispositions
dispossess: dispossess
disputable: disputable
dispute: dispute,disputed,disputes,disputing
disquiet: disquiet,disquiets
disquietude: disquietudes
dissatisfied: dissatisfied
dissect: dissect
dissension: dissensions
dissent: dissenting
dissolve: dissolved
distance: distance,distances
distant: distant
distinct: distinct
distinction: distinction,distinctions
distinctly: distinctly
distinguish: distinguish,distinguished,distinguishing
distinguished: distinguished
distort: distorted
distorted: distorted
distract: distracted
distress: distress,distresses
distressed: distressed
distribute: distribute,distributed,distributing
distribution: distribution
distributive: distributive
distributor: distributor
district: district,districts
disturb: disturb,disturbed
disturbance: disturbance,disturbances
diuretic: diuretic
diurnal: diurnal
diversion: diversion,diversions
divert: divert,diverted,diverting,diverts
divide: divide,divided
divider: divider
divine: divine
division: division,divisions
docible: docible
docility: docility
doctor: doctor
doctrine: doctrine
dog: dog,dogs
domain: domain
dome: dome
domestic: domestic,domestics
dominion: dominion,dominions
donate: donate
donation: donation,donations
donor: donors
door: door,doors
dose: dose
dotage: dotage
double: double,doubled
doubt: doubt,doubted,doubting,doubts
download: downloading
downward: downward
dozen: dozen
drag: drag,dragged
dram: dram
draught: draught
draw: draw,drawing,drawn,drew
drawer: drawer
drayman: draymen
dread: dread,dreaded
dreadful: dreadful
dream: dream,dreams,dreamt
dress: dress,dressed,dressing
dressed: dressed
dressing: dressing
drink: drank,drink,drinking,drinks
drinking: drinking
drive: drive,driven,drives,drove
drone: drones
drop: drop,dropped
drown: drown,drowned
drudgery: drudgery
drug: drugs
drum: drum,drums
drunk: drunk
drunkard: drunkards
dry: dried,dry
dubious: dubious
dublin: dublin
duck: ducks
dug: dugs
duke: duke,dukes
dullness: dullness
duly: duly
dunce: dunces
dung: dung
dungeon: dungeon
dunstable: dunstable
durable: durable
durst: durst
dust: dust
dutch: dutch
dutchman: dutchman
duty: duties,duty
dwarf: dwarf
dwell: dwell,dwelling,dwelt
dwindle: dwindled
dyeing: dyeing
eager: eager
eagerness: eagerness
eagle: eagle,eagles
ear: ear,ears
earl: earls
earnest: earnest
earnestly: earnestly
earnestness: earnestness
earth: earth
earthen: earthen
ease: ease,eased
easily: easily
east: east
eastern: eastern
eastward: eastward
easy: easy
eat: ate,eat,eaten,eating
eating: eating
eaves: eaves
ebullient: ebullient
eclipse: eclipses
economy: economy
edge: edge,edges
edict: edict
edifice: edifice
edition: edition,editions
edmund: edmund
educate: educated,educating
education: education
educational: educational
effectual: effectual
effectually: effectually
effluvia: effluvia
effort: effort,efforts
egg: egg,eggs
eighteen: eighteen
ejection: ejection
elapse: elapsed
elbow: elbow
eld: eldest
elder: elder
elderly: elderly
elect: elect,electing
election: elections
electronic: electronic
electronically: electronically
elegant: elegant
