abandon: abandoned,abandons
breathe: breathe,breathed,breathing
breathing: breathing
breathlessly: breathlessly
breed: bred
brewer: brewer
briar: briar
brick: brick,bricks
brickish: brickish
bridal: bridal
bride: bride
bridegroom: bridegroom
bridge: bridge
bright: bright,brighter,brightest
brightly: brightly
brightness: brightness
brilliant: brilliant
brilliantly: brilliantly
brim: brim,brimmed,brims
bring: bring,bringing,brings,brought
briony: briony
brisk: brisk
briskly: briskly
bristol: bristol
britain: britain
britannica: britannica
british: british
broad: broad,broader,broadest
broaden: broadened
broke: broke
broken: broken
brooch: brooch
brother: brother,brothers
brougham: brougham
brow: brow,brows
brown: brown
brownish: brownish
bruise: bruise
brush: brush,brushed
brute: brute
buckle: buckles
budge: budge
buffalo: buffalo
build: build,built
builder: builder
building: building,buildings
bulge: bulge
bulky: bulky
bull: bull
bulldog: bulldog
bullet: bullet
bullion: bullion
bump: bumping
bunch: bunch
bundle: bundle,bundles
burden: burden
bureau: bureau
burglar: burglar,burglars
burgle: burgled
burly: burly
burn: burned,burning
burnish: burnished
burrow: burrowing
burst: burst
bury: buried
bush: bush,bushes
bushy: bushy
business: business
businesslike: businesslike
bustle: bustled,bustling
busy: busier,busy
busybody: busybody
butcher: butcher
butler: butler
butt: butt
button: buttoned,buttoning,buttons
buzz: buzz
buzzing: buzzing
bye: bye
cab: cab,cabs
cabby: cabby
cabinet: cabinet
cable: cable
cabman: cabman
cadaverous: cadaverous
cage: cage,caged
cake: cake
calamity: calamity
calculate: calculate,calculated
calcutta: calcutta
calf: calf,calves
california: california
californian: californian
calling: calling
calmly: calmly
caltrop: caltrops
camera: camera
camp: camp
campaign: campaign
campaigner: campaigner
candid: candid
candidate: candidate
candle: candle
cane: cane
cannon: cannon
canvas: canvas
cap: cap,caps
capable: capable
capacity: capacity
capital: capital
captain: captain
capture: capture,captured
carbolise: carbolised
carbuncle: carbuncle
card: card,cards
cardboard: cardboard
care: care,cared,cares
career: career
careful: careful
carefully: carefully
careless: careless
carelessly: carelessly
caress: caress
caressing: caressing
cargo: cargo
carlo: carlo
carolinas: carolinas
carpenter: carpenter
carpet: carpet,carpets
carriage: carriage
carry: carried,carries,carry,carrying
cart: cart,carts
carte: carte
carve: carved
cascade: cascade
caseful: caseful
cashbox: cashbox
cashier: cashier
casket: casket
cast: cast
casting: casting
castle: castle
cat: cat
catastrophe: catastrophe
catch: catch,catching,caught
category: category
cathedral: cathedral
catherine: catherine
catlike: catlike
caution: caution
cave: cave,caved
cease: cease,ceased,ceases
ceaseless: ceaseless
cedars: cedars
ceiling: ceiling
celebrate: celebrated
celebrated: celebrated
cell: cell,cells
cellar: cellar
cent: cent
central: central
centre: centre
centred: centred
century: centuries,century
ceremony: ceremony
certainty: certainty
certificate: certificates
chaff: chaff,chaffed
chaffer: chaffering
chagrin: chagrin
chagrined: chagrined
chain: chain,chains
chair: chair,chairs
chairman: chairman
chalk: chalk
chamber: chamber,chambers
chamois: chamois
chance: chance,chanced,chances
change: change,changed,changing
chap: chap
chapter: chapter
character: character,characters
characteristic: characteristic,characteristics
charcoal: charcoal
charge: charge,charged,charges
charing: charing
charitable: charitable
charity: charities,charity
charles: charles
charm: charm
charming: charming
charred: charred
chase: chase,chased
chasing: chasing
chat: chat,chatted,chatting
cheap: cheap
cheat: cheating
check: check,checks
checkmate: checkmate
cheek: cheeks
cheekbone: cheekbones
cheer: cheer
cheerful: cheerful
cheerily: cheerily
cheerless: cheerless
cheery: cheery
cheetah: cheetah
chemical: chemical
chemistry: chemistry
cheque: cheque
cherry: cherry
chest: chest
chesterfield: chesterfield
chestnut: chestnut
chew: chewing
chief: chief
chiffon: chiffon
child: child,children
childish: childish
chill: chill
chimney: chimney,chimneys
chin: chin,chins
china: china
chinchilla: chinchilla
chinese: chinese
chink: chink
chisel: chisel
chivalrous: chivalrous
choke: choked
choose: choose,choosing,chose,chosen
christ: christ
christmas: christmas
chronic: chronic
chronicle: chronicle
chronicler: chronicler
chubb: chubb
chuck: chucked
chuckle: chuckled,chuckling
church: church
cigar: cigar,cigars
cigarette: cigarette,cigarettes
cinder: cinder
circle: circle,circles
circulation: circulation
circumspect: circumspect
circumstance: circumstances
circumstantial: circumstantial
citizen: citizens
city: city
civil: civil
civilisation: civilisation
civilised: civilised
claim: claim
clair: clair
clamber: clambered
clamped: clamped
clang: clang
clanging: clanging
clank: clank,clanking
clap: clapped
clara: clara
claret: claret
clark: clark
clasped: clasped
clasping: clasping
class: class,classes
clatter: clatter,clattered
claw: claws
clay: clay
clean: clean,cleaned
cleanly: cleanly
clearing: clearing
cleaver: cleaver
clenched: clenched
clergyman: clergyman
clerk: clerk,clerks
clever: clever
cleverness: cleverness
client: client,clients
climate: climate
climb: climbed,climbing
clinch: clinched
clink: clink,clinked
cloak: cloak
clock: clock
close: close,closed,closing
closed: closed
closely: closely
cloth: cloth
clothe: clad
clothes: clothes
cloud: cloud,clouded,clouds
cloudless: cloudless
club: club
clue: clue,clues
clump: clump,clumps
clumsy: clumsy
cluster: cluster
clutch: clutched,clutches,clutching
coach: coach
coachman: coachman
coarse: coarse
coarsely: coarsely
coat: coat
coax: coaxing
cobb: cobb
cobbler: cobbler
coburg: coburg
cobwebby: cobwebby
cocaine: cocaine
cock: cock,cocking
cocked: cocked
cockroach: cockroaches
cocksure: cocksure
cocktail: cocktail
code: codes
coffee: coffee
coil: coil
coin: coin,coins
coincidence: coincidence,coincidences
coincident: coincident
coiner: coiners
cold: cold
coldly: coldly
coldness: coldness
collapse: collapse,collapsed
collar: collar
colleague: colleague
collect: collected,collecting
collection: collection
college: college
colonel: colonel
colony: colonies,colony
colour: colour,coloured
coloured: coloured
colourless: colourless
column: column,columns
combination: combination,combinations
combine: combine,combined
comely: comely
comfort: comfort,comforted
comfortable: comfortable
comfortably: comfortably
comic: comic
comical: comical
command: command,commanding,commands
commander: commander
commence: commence
commencement: commencement
comment: comment,commenting
commerce: commerce
commercial: commercial
commission: commission,commissions
commissionaire: commissionaire
commit: commit,committed
common: common
commonly: commonly
commonplace: commonplace,commonplaces
commons: commons
communicate: communicate,communicated
communication: communication
communicative: communicative
community: community
commute: commuting
companion: companion,companions
company: companies,company
comparatively: comparatively
compare: compared,comparing
compass: compass,compasses
compel: compelled
compensate: compensated
competence: competence
competition: competition
compilation: compilation
complain: complain,complained
complaint: complaint
complete: complete,completed
completely: completely
complex: complex
complexion: complexion
compliance: compliance
complicate: complicates
compliment: compliment,complimented,compliments
complimentary: complimentary
comply: comply,complying
compose: compose,composed
composer: composer
compositor: compositor
comprehensive: comprehensive
compress: compress,compressed
compressed: compressed
compromise: compromise,compromised,compromising
compunction: compunction
comrade: comrade
conceal: conceal,concealed
concealment: concealment
conceit: conceit
conceivable: conceivable
conceive: conceive,conceives
concentrate: concentrate,concentrated
concentration: concentration
concept: concept
conception: conception
concern: concern,concerned
concerned: concerned
concert: concert,concerts
concise: concise
concisely: concisely
conclude: concluded,concluding
conclusion: conclusion,conclusions
conclusive: conclusive
condemn: condemned
condescend: condescend
condition: condition,conditions
conduct: conduct,conducted,conducting
confectioner: confectioner
confederate: confederate,confederates
confess: confess,confessed
confession: confession
confidant: confidant
confide: confide,confided
confidence: confidence
confidential: confidential
confine: confine,confined,confining
confirm: confirm,confirmed
confirmation: confirmation
confound: confound
confront: confronted
confused: confused
confusion: confusion
congenial: congenial
congratulate: congratulate,congratulated
conjecture: conjecture,conjectured
conjunction: conjunction
connect: connected
connection: connection
connivance: connivance
conscience: conscience
conscious: conscious
consciousness: consciousness
consent: consented
consequence: consequence,consequences
consequential: consequential
considerable: considerable
considerably: considerably
consideration: consideration,considerations
consist: consisted
console: consoled
conspicuous: conspicuous
conspire: conspiring
constable: constable,constables
constabulary: constabulary
constant: constant
consternation: consternation
constitution: constitution
constraint: constraint
construct: constructed
construction: construction
consult: consult,consulted,consulting,consults
consultation: consultations
consulting: consulting
consume: consumed,consuming
contact: contact
contemplation: contemplation
contemplative: contemplative
contemptuous: contemptuous
contents: contents
continent: continent,continents
continental: continental
continually: continually
continue: continue,continued,continues
continuously: continuously
contortion: contortions
contract: contract
contraction: contraction
contradict: contradict
contralto: contralto
contrary: contrary
contrast: contrast
contribute: contributed
contribution: contributions
contrition: contrition
control: control,controlled
conundrum: conundrums
convenience: convenience
convenient: convenient
conveniently: conveniently
convention: conventions
conventionality: conventionalities
conversation: conversation
converse: converse
convert: convert
convey: conveyed
conviction: conviction
convince: convince,convinced,convincing
convinced: convinced
convincing: convincing
convoy: convoy
convulse: convulse,convulsed
convulsion: convulsion
convulsive: convulsive
cooee: cooee
cook: cook
cooking: cooking
cool: cool,coolest
coolness: coolness
coop: cooped
copier: copier
copper: copper,coppers
copying: copying
copyright: copyright
coquettish: coquettish
cord: cord
cordially: cordially
corner: corner,corners
cornwall: cornwall
coroner: coroner
coronet: coronet
corporation: corporation
correct: correct
correctly: correctly
correspond: corresponded,corresponds
correspondence: correspondence
correspondent: correspondent
corridor: corridor,corridors
corroborate: corroborate
corroboration: corroboration
corrupt: corrupt
cosmopolitan: cosmopolitan
cost: cost,costs
coster: coster
costume: costume
cosy: cosy
cotton: cotton
couch: couch
cough: cough
counsel: counsel
counsellor: counsellor
count: count,counts
counterpaned: counterpaned
countess: countess
counties: counties
country: countries,country
countryman: countryman
countryside: countryside
county: counties,county
couple: couple,coupled,couples
courage: courage
court: court
courtesy: courtesy
cousin: cousin,cousins
covent: covent
coventry: coventry
cover: cover,covered
covered: covered
crab: crab
crack: crack,cracked,cracks
cracked: cracked
crackle: crackling
crackling: crackling
craggy: craggy
crane: crane
crash: crash
crate: crate,crates
cravat: cravat,cravats
crawl: crawl,crawled
creak: creaking
cream: cream
crease: creases
create: created,creating
creation: creation
creature: creature,creatures
credit: credit
creditable: creditable
creditor: creditor
creep: creeping
crest: crest
crewe: crewe
crib: crib
crime: crime,crimes
criminal: criminal,criminals
cringe: cringe
cringing: cringing
crinkle: crinkled
cripple: cripple
crippled: crippled
crisis: crisis
crisp: crisp
crisply: crisply
critical: critical
crocus: crocuses
crony: crony
crop: crop
cross: cross,crossed
crouch: crouched
crowd: crowd,crowded
crowded: crowded
crowder: crowder
crown: crown,crowns
crucial: crucial
crude: crude,crudest
cruel: cruel
cruelly: cruelly
cruelty: cruelty
crumbly: crumbly
crumple: crumpled
crumpled: crumpled
crush: crushed,crushing
crust: crust,crusted
crystal: crystals
crystallise: crystallised
cub: cub
cubic: cubic
cudgel: cudgelled
cuff: cuff
culprit: culprit
culture: cultured
cumbrous: cumbrous
cunning: cunning
cup: cup
cupboard: cupboard
curb: curb
cure: cure,cured
curiosity: curiosity
curious: curious
curl: curled,curling
curly: curly
current: current
curse: curse,curses
cursed: cursed
curt: curt
curtain: curtain
curve: curve,curves,curving
cushion: cushion,cushioned,cushions
custody: custody
custom: custom
customary: customary
customer: customer
cut: cut,cuts
cutting: cuttings
cylinder: cylinder,cylinders
cynical: cynical
dad: dad
daily: daily
dainty: daintiest
damage: damage
damaged: damaged
damages: damages
damning: damning
damp: damp
dane: dane
danger: danger,dangers
dangerous: dangerous
dangerously: dangerously
dangle: dangling
dank: dank
danseuse: danseuse
daresay: daresay
daring: daring
dark: dark,darker
darken: darkened
darkness: darkness
dart: darted,darting
dash: dash,dashed,dashing
datum: data
daub: daubing
daughter: daughter
dawdling: dawdling
dawn: dawn
day: day,days
daylight: daylight
daytime: daytime
daze: dazed
dazed: dazed
dead: dead
deadly: deadliest,deadly
deal: deal,dealing
dealer: dealer
dealings: dealings
dearest: dearest
dearly: dearly
death: death,deaths
deathbed: deathbeds
debt: debt,debts
deceased: deceased
deceive: deceive,deceived
december: december
deception: deception
deceptive: deceptive
decide: decide,decided
decidedly: decidedly
decision: decision
declare: declared
decline: decline
decorate: decorated
decoy: decoyed
decrepit: decrepit
decrepitude: decrepitude
deduce: deduce,deduced
deductible: deductible
deduction: deduction,deductions
deductive: deductive
deed: deed,deeds
deep: deep,deeper,deepest
deeply: deeply
defeat: defeated
defect: defect,defects
defective: defective
defence: defence
defend: defend,defending
deference: deference
defiantly: defiantly
deficiency: deficiencies
define: define,defined
definite: definite
defray: defray
degenerate: degenerating
degrade: degraded
degree: degree,degrees
dejected: dejected
delay: delay,delayed
deletion: deletions
delicacy: delicacy
delicate: delicate
delicately: delicately
delight: delight
delighted: delighted
delirious: delirious
delirium: delirium
delude: deluded
delusion: delusion
demand: demand
demeanour: demeanour
demon: demon
demurely: demurely
den: den
denial: denial
dense: dense
deny: denied,deny,denying
depart: departed
departure: departure
depend: depend,depended,depends
dependent: dependent
depict: depicted
deportment: deportment
depose: depose,deposed,deposes
deposit: deposit
deposition: deposition
depositor: depositors
depot: depot
depressed: depressed
depressing: depressing
depression: depression
deprive: deprived
derange: deranged
derby: derbies
derivative: derivative
derive: derive,derived,derives
descend: descend,descended,descending,descends
descent: descent
description: description
desert: deserted,deserting,deserts
deserted: deserted
deserve: deserve,deserved
design: designed
desire: desire,desired,desires
desirous: desirous
desk: desk
despair: despair
despaired: despaired
despairing: despairing
desperate: desperate
desperation: desperation
destine: destined
destiny: destiny
destitute: destitute
destroy: destroy,destroyed
destruction: destruction
desultory: desultory
detach: detach
detain: detain,detained
detect: detected
detective: detective
determination: determination
determine: determine,determined
determined: determined
detour: detour
detract: detracted
deuce: deuce
develop: develop,developed
developed: developed
development: developments
device: device
devil: devil,devils
devilish: devilish
devise: devised
devoid: devoid
devonshire: devonshire
devote: devote,devoted
devoted: devoted
devotedly: devotedly
devour: devoured,devouring
dew: dew
diabetes: diabetes
diadem: diadem
diamond: diamond
diary: diary
die: die,died,dies,dying
difference: difference
difficult: difficult
difficulty: difficulties,difficulty
dig: dig,digs,dug
digest: digesting
digging: diggings
dignity: dignity
dilate: dilate
diligence: diligence
diligently: diligently
dim: dim
dimly: dimly
dine: dine
dingy: dingy
dining: dining
dinner: dinner
dint: dint
dip: dipped,dipping
direct: direct,directed
direction: direction,directions
director: director,directors
dirt: dirt
dirty: dirty
disadvantage: disadvantage,disadvantages
disagreeable: disagreeable
disagreement: disagreements
disappear: disappeared,disappearing
disappearance: disappearance
disappoint: disappoint,disappointed
disappointed: disappointed
disappointment: disappointment
disc: disc
disclaim: disclaim
disclaimer: disclaimer,disclaimers
disclose: discloses
discolour: discoloured
disconnected: disconnected
discontent: discontent
discontinue: discontinue
discourage: discourage
discover: discover,discovered,discovering
discovery: discovery
discreet: discreet
discrepancy: discrepancy
discretion: discretion
discriminate: discriminate
discuss: discuss
disease: disease
disentangle: disentangled
disfigured: disfigured
disgrace: disgrace
disgraceful: disgraceful
disguise: disguise,disguised,disguises
disgust: disgust
dishonour: dishonoured
dishonourable: dishonourable
dishonoured: dishonoured
disk: disk
dislike: dislike,disliked
dismantle: dismantled
dismay: dismay
dismiss: dismissed
disown: disown
dispatch: dispatched
dispel: dispel
display: display,displayed,displaying
disposal: disposal
dispose: dispose
disposition: disposition
disproportionately: disproportionately
disputatious: disputatious
disqualify: disqualify
disregard: disregard,disregarded,disregarding
disreputable: disreputable
dissatisfied: dissatisfied
dissolute: dissolute
dissolve: dissolved
distaff: distaff
distance: distance
distant: distant
distinct: distinct
distinction: distinction
distinctive: distinctive
distinctly: distinctly
distinguish: distinguish
distorted: distorted
distracting: distracting
distribute: distribute,distributed,distributing
distribution: distribution
distributor: distributor
district: district
distrust: distrusted
disturb: disturb,disturbed
disturbance: disturbance
disturbed: disturbed
disturbing: disturbing
divan: divan
dive: dived
diversity: diversity
divert: diverted
divine: divined
diving: diving
division: division
dizziness: dizziness
dock: dock,docks
docket: docketing
dockyard: dockyard
doctor: doctor,doctors
document: document
doddering: doddering
dog: dog
doings: doings
dollar: dollars
domain: domain
donate: donate
donation: donation,donations
donna: donna
donor: donors
door: door,doors
doorway: doorway
dottle: dottles
double: double,doubled
doubly: doubly
doubt: doubt,doubted,doubting,doubts
doubtless: doubtless
download: downloading
downstairs: downstairs
downward: downward
dowry: dowry
doyle: doyle
dozen: dozen
drab: drab
drag: dragged,dragging
drama: drama
dramatic: dramatic
draught: draught,draughts
draw: draw,drawing,drawn,draws,drew
drawback: drawback
drawer: drawer,drawers
drawing: drawing
drawl: drawled
dread: dread
dreadful: dreadful
dreadfully: dreadfully
dream: dream,dreaming,dreams
dreamy: dreamy
dreary: dreary
dregs: dregs
drench: drenched
dress: dress,dressed,dressing
dressed: dressed
dressing: dressing
drift: drifted,drifting
drink: drank,drink,drinking,drunk
drive: drive,driven,drives,driving,drove
driver: driver
driving: driving
drone: droning
droop: drooping
drop: drop,dropped,dropping,drops
dropping: dropping
drown: drowned
drowsiness: drowsiness
drug: drug
drunk: drunk
drunkard: drunkard
drunken: drunken
dry: dried,dry
dryly: dryly
dual: dual
dubious: dubious
duchess: duchess
duke: duke
dull: dull
duly: duly
dummy: dummy
dun: dun
duncan: duncan
dundee: dundee
duplicate: duplicate,duplicates
dusk: dusk
dust: dust
dustcoat: dustcoat
dusty: dusty
duty: duties,duty
dwell: dwell
dweller: dweller
dwelling: dwelling
eager: eager
eagerly: eagerly
eagerness: eagerness
ear: ear,ears
earn: earn,earned,earning
earnest: earnest
earnestly: earnestly
earring: earrings
earshot: earshot
earth: earth
ease: ease
easily: easily
east: east
easterly: easterly
eastern: eastern
eastward: eastward
easy: easier,easy
eat: ate,eat,eaten
eaves: eaves
eavesdropper: eavesdroppers
ebb: ebbing
eccentric: eccentric
eccentricity: eccentricity
echo: echo,echoes
eclipse: eclipsed,eclipses
eddy: eddy
edge: edge,edged,edges
edged: edged
edition: edition,editions
editor: editor
education: education
educational: educational
edward: edward
eerie: eerie
effective: effective
effort: effort,efforts
effusive: effusive
egg: egg,eggs
egotism: egotism
eighteen: eighteen
ejaculate: ejaculated
ejaculation: ejaculation
eject: ejected
elaborate: elaborate
elapse: elapsed
elastic: elastic
elbow: elbow,elbowed,elbows
elder: elder
elderly: elderly
elect: elect
electric: electric
electronic: electronic
electronically: electronically
element: element,elements
elemental: elemental
